Date,Temperature,Humidity
1561817555.0541813,24.3,45.0
1561817615.0643468,24.2,46.0
1561817675.0755177,24.3,45.0
1561817735.086789,24.3,46.0
1561817795.0968325,24.2,46.0
1561817855.1079102,24.2,46.0
1561817915.1182544,24.2,46.0
1561817975.129204,24.2,46.0
1561818035.140162,24.2,46.0
1561818095.1510518,24.2,46.0
1561818155.16167,24.2,46.0
1561818215.1726775,24.2,46.0
1561818275.1830997,24.2,46.0
1561818335.1936557,24.2,46.0
1561818395.204898,24.3,46.0
1561818455.215109,24.2,45.0
1561818515.2260032,24.2,45.0
1561818575.2372155,24.3,45.0
1561818635.2480755,24.2,46.0
1561818695.258532,24.3,46.0
1561818755.2696667,24.3,46.0
1561818815.280025,24.2,46.0
1561818875.2911427,24.2,46.0
1561818935.301121,24.3,46.0
1561818995.312297,24.2,46.0
1561819055.3235633,24.3,46.0
1561819115.3339777,24.3,46.0
1561819175.3450427,24.3,46.0
1561819235.35515,24.3,46.0
1561819295.3660533,24.2,46.0
1561819355.3777158,24.3,46.0
1561819415.3881047,24.3,46.0
1561819475.3989062,24.3,46.0
1561819535.4095047,24.3,46.0
1561819595.4207208,24.3,46.0
1561819655.431507,24.3,46.0
1561819715.4416296,24.3,46.0
1561819775.452815,24.3,46.0
1561819835.4637249,24.3,46.0
1561819895.4746008,24.3,46.0
1561819955.4853106,24.4,46.0
1561820015.4959548,24.4,46.0
1561820075.507361,24.3,46.0
1561820135.5179923,24.3,46.0
1561820195.5291107,24.3,46.0
1561820255.5393822,24.4,46.0
1561820315.5504067,24.4,46.0
1561820375.561351,24.4,46.0
1561820435.5713122,24.3,46.0
1561820495.5829215,24.4,46.0
1561820555.5936852,24.4,46.0
1561820615.6046286,24.4,46.0
1561820675.6147466,24.4,46.0
1561820735.6258528,24.4,46.0
1561820795.6367044,24.4,46.0
1561820855.646904,24.4,46.0
1561820915.65875,24.4,46.0
1561820975.6691477,24.4,46.0
1561821035.6792488,24.4,46.0
1561821095.6900208,24.4,46.0
1561821155.7018566,24.5,46.0
1561821215.71209,24.4,46.0
1561821275.7229366,24.4,46.0
1561821335.733348,24.5,46.0
1561821395.7451098,24.5,46.0
1561821455.7556891,24.5,46.0
1561821515.7663014,24.5,46.0
1561821575.7770333,24.5,46.0
1561821635.7881365,24.5,46.0
1561821695.799049,24.6,46.0
1561821755.8104496,24.5,46.0
1561821815.8210158,24.6,46.0
1561821875.831977,24.5,46.0
1561821935.8420782,24.6,46.0
1561821995.8534544,24.6,46.0
1561822055.864127,24.6,46.0
1561822115.8744953,24.6,46.0
1561822175.886083,24.6,46.0
1561822235.8963573,24.6,46.0
1561822295.9071696,24.6,46.0
1561822355.918208,24.6,46.0
1561822415.9286392,24.6,46.0
1561822475.9396224,24.6,46.0
1561822535.9505148,24.6,46.0
1561822595.9616253,24.6,46.0
1561822655.9726765,24.6,46.0
1561822715.9831035,24.6,46.0
1561822775.9939623,24.6,46.0
1561822836.0044324,24.6,46.0
1561822896.01568,24.6,46.0
1561822956.026137,24.6,46.0
1561823016.0373435,24.7,46.0
1561823076.0484738,24.7,46.0
1561823136.0589578,24.7,46.0
1561823196.0699987,24.7,46.0
1561823256.0811512,24.6,46.0
1561823316.0918505,24.7,46.0
1561823376.102704,24.6,46.0
1561823436.1131823,24.7,46.0
1561823461.6705985,24.6,46.0
1561823521.6812851,24.7,46.0
1561823581.6923466,24.7,46.0
1561823641.703024,24.8,47.0
1561823701.7138693,24.8,47.0
1561823761.725105,24.9,48.0
1561823821.7350893,24.9,47.0
1561823881.7461925,24.9,47.0
1561823941.7565079,24.9,47.0
1561824001.7677495,24.9,47.0
1561824061.7779171,25.0,47.0
1561824121.7892802,25.0,48.0
1561824181.7997298,25.0,47.0
1561824241.8101997,25.0,47.0
1561824301.8211708,25.0,47.0
1561824361.8315604,25.1,47.0
1561824421.842589,25.1,49.0
1561824481.8528883,25.0,47.0
1561824541.8640263,25.1,47.0
1561824601.8744457,25.1,47.0
1561824661.8850157,25.2,48.0
1561824721.8961172,25.2,47.0
1561824781.9062307,25.2,47.0
1561824841.9175413,25.2,47.0
1561824901.9277883,25.2,47.0
1561824961.93923,25.2,47.0
1561825021.950094,25.3,47.0
1561825081.960343,25.3,47.0
1561825141.9707367,25.2,47.0
1561825201.9817398,25.3,47.0
1561825261.9930625,25.2,48.0
1561825322.0040128,25.3,47.0
1561825382.014341,25.3,47.0
1561825442.0253515,25.3,47.0
1561825502.0362723,25.3,47.0
1561825562.0474322,25.3,47.0
1561825622.0583465,25.4,47.0
1561825682.068506,25.4,48.0
1561825742.0792613,25.3,48.0
1561825802.0904062,25.3,47.0
1561825862.1011195,25.3,47.0
1561825922.1119924,25.4,47.0
1561825982.1223657,25.4,48.0
1561826042.133295,25.4,48.0
1561826102.1437688,25.4,47.0
1561826162.1548054,25.3,47.0
1561826222.1650796,25.4,47.0
1561826282.1758902,25.5,47.0
1561826342.1866455,25.4,47.0
1561826402.198027,25.4,47.0
1561826462.2080395,25.4,47.0
1561826522.2195284,25.4,47.0
1561826582.2300773,25.4,47.0
1561826642.240374,25.5,47.0
1561826702.2521088,25.5,47.0
1561826762.2622068,25.6,46.0
1561826822.2733655,25.7,46.0
1561826882.2841206,25.6,47.0
1561826942.294886,25.6,46.0
1561827002.30538,25.6,47.0
1561827062.3168414,25.6,47.0
1561827122.3277643,25.6,47.0
1561827182.3383875,25.6,47.0
