t,L_1,L_2,L_3
4021.299875020981,19.17,13.33,19.17
4022.3025081157684,19.17,13.33,19.17
4023.304390668869,19.17,13.33,19.17
4024.307134628296,19.17,13.33,19.17
4025.308559179306,19.17,13.33,19.17
4026.3119156360626,19.17,13.33,19.17
4027.3132758140564,19.17,13.33,19.17
4028.3158192634583,19.17,13.33,19.17
4029.3183028697968,19.17,13.33,19.17
4030.318976163864,19.17,13.33,19.17
4031.321469783783,19.17,13.33,19.17
4032.322515964508,19.17,13.33,19.17
4033.3256797790527,19.17,13.33,19.17
4034.3264899253845,19.17,13.33,19.17
4035.328340768814,19.17,13.33,19.17
4036.3294117450714,19.17,13.33,19.17
4037.3321261405945,19.17,13.33,19.17
4038.333202600479,19.17,13.33,19.17
4039.335727453232,19.17,13.33,19.17
4040.336753129959,19.17,13.33,19.17
4041.3390023708344,19.17,13.33,19.17
4042.340011358261,19.17,13.33,19.17
4043.3427228927612,19.17,13.33,19.17
4044.3435180187225,19.17,13.33,19.17
4045.346103668213,19.17,13.33,19.17
4046.346736907959,19.17,13.33,19.17
4047.349024295807,19.58,13.33,19.58
4048.350408554077,19.58,13.75,19.58
4049.352333545685,19.58,13.75,19.58
4050.354453086853,19.58,13.75,19.58
4051.355911254883,19.58,13.75,19.58
4052.3575925827026,19.58,13.75,19.58
4053.3593406677246,19.58,13.75,19.58
4054.361492872238,13.33,13.75,19.58
4055.363335609436,13.33,13.75,19.58
4056.364657640457,13.33,13.75,19.58
4057.366439819336,13.33,13.75,19.58
4058.36887049675,13.33,13.75,19.58
4059.3708057403564,20.0,20.0,20.0
4060.373776912689,13.33,13.75,19.58
4061.375124692917,13.33,13.75,19.58
4062.378098964691,13.33,13.75,19.58
4063.3796043395996,13.33,13.75,19.58
4064.382086277008,13.33,13.75,19.58
4065.384301185608,13.33,13.75,19.58
4066.3868317604065,19.58,13.75,19.58
4067.388669013977,19.58,13.75,19.58
4068.3907244205475,19.58,13.75,19.58
4069.3933374881744,19.58,13.75,19.58
4070.396130800247,19.58,13.75,19.58
4071.397105693817,19.58,13.75,19.58
4072.3994421958923,19.58,13.33,19.58
4073.4004743099213,19.58,13.33,19.58
4074.402676343918,19.17,13.33,19.17
4075.4037749767303,19.17,13.33,19.17
4076.4057269096375,19.17,13.33,19.17
4077.4072523117065,19.17,13.33,19.17
4078.409479856491,19.17,13.33,19.17
4079.410464525223,19.17,19.17,19.17
4080.413323163986,19.17,19.17,19.17
4081.414785861969,18.75,18.75,18.75
4082.416284561157,18.75,18.75,18.75
4083.4176046848297,18.75,18.75,18.75
4084.4201126098633,18.75,18.33,18.75
4085.420870065689,18.75,18.33,18.75
4086.4233984947205,18.33,18.33,18.33
4087.424276828766,18.33,18.33,18.33
4088.4274876117706,18.33,18.33,18.33
4089.4278886318207,18.33,18.33,18.33
4090.4308404922485,16.67,17.08,17.92
4091.431133031845,17.92,17.08,17.92
4092.433920145035,17.92,17.08,17.92
4093.4351336956024,17.92,17.08,17.92
4094.436948776245,17.92,17.08,17.92
4095.4384644031525,17.92,16.67,17.92
4096.441224575043,17.5,16.67,17.5
4097.441842794418,17.5,16.67,17.5
4098.444395303726,17.5,16.67,17.5
4099.446359634399,17.5,16.67,17.5
4100.449026584625,17.5,16.67,17.5
4101.450309991837,17.5,16.67,17.5
4102.4533059597015,17.5,16.67,17.5
